,Utilisateur,Date,Heure,Action,Attribut,Delai
61,tdelille,2009-02-12,14:31:17,Afficher le contenu d''un message,IDMSG=1164,00:00:30
62,tdelille,2009-02-12,14:39:15,Répondre à un message,IDFORUM=7,00:07:26
63,tdelille,2009-02-12,14:39:15,Répondre à un message,IDMSG=1165,00:07:26
64,tdelille,2009-02-12,14:39:15,Répondre à un message,IDPARENT=1164,00:07:26
65,sebastien,2009-02-12,15:51:57,Afficher une structure (cours/forum),IDFORUM=7,
66,sebastien,2009-02-12,15:52:04,Afficher le contenu d''un message,IDFORUM=7,00:00:27
67,sebastien,2009-02-12,15:52:04,Afficher le contenu d''un message,IDMSG=1163,00:00:27
68,sebastien,2009-02-12,15:52:34,Afficher le contenu d''un message,IDFORUM=7,00:00:21
69,sebastien,2009-02-12,15:52:34,Afficher le contenu d''un message,IDMSG=1164,00:00:21
70,sebastien,2009-02-12,15:52:58,Afficher le contenu d''un message,IDFORUM=7,
71,sebastien,2009-02-12,15:52:58,Afficher le contenu d''un message,IDMSG=1165,
72,sebastien,2009-02-12,15:53:44,Afficher une structure (cours/forum),IDFORUM=9,
73,sebastien,2009-02-12,15:54:02,Afficher une structure (cours/forum),IDFORUM=10,
74,sebastien,2009-02-12,15:54:25,Afficher une structure (cours/forum),IDFORUM=7,
75,sebastien,2009-02-12,15:54:36,Afficher le fil de discussion,IDFORUM=7,
76,sebastien,2009-02-12,15:54:36,Afficher le fil de discussion,IDMSG=1163,
77,ddaniaupotter,2009-02-12,15:55:39,Connexion,login=ddaniaupotter,
78,ddaniaupotter,2009-02-12,15:55:39,Afficher une structure (cours/forum),IDFORUM=7,
79,ddaniaupotter,2009-02-12,15:55:50,Afficher une structure (cours/forum),IDFORUM=7,
80,ddaniaupotter,2009-02-12,15:56:04,Afficher le contenu d''un message,IDFORUM=7,00:00:37
81,ddaniaupotter,2009-02-12,15:56:04,Afficher le contenu d''un message,IDMSG=1165,00:00:37
82,ddaniaupotter,2009-02-12,16:00:05,Répondre à un message,IDFORUM=7,00:03:20
83,ddaniaupotter,2009-02-12,16:00:05,Répondre à un message,IDMSG=1166,00:03:20
84,ddaniaupotter,2009-02-12,16:00:05,Répondre à un message,IDPARENT=1165,00:03:20
85,tdelille,2009-02-12,16:14:23,Connexion,login=tdelille,
86,tdelille,2009-02-12,16:14:23,Afficher une structure (cours/forum),IDFORUM=7,
87,tdelille,2009-02-12,16:14:26,Afficher le contenu d''un message,IDFORUM=7,
88,tdelille,2009-02-12,16:14:26,Afficher le contenu d''un message,IDMSG=1166,
89,tdelille,2009-02-12,16:14:56,Afficher le contenu d''un message,IDFORUM=7,
90,tdelille,2009-02-12,16:14:56,Afficher le contenu d''un message,IDMSG=1165,
91,tdelille,2009-02-12,16:15:32,Afficher une structure (cours/forum),IDFORUM=10,
92,tdelille,2009-02-12,16:20:40,Poster un nouveau message,IDFORUM=10,00:05:06
93,tdelille,2009-02-12,16:20:40,Poster un nouveau message,IDMSG=1167,00:05:06
94,ddaniaupotter,2009-02-13,05:44:00,Afficher le contenu d''un message,IDFORUM=7,
95,ddaniaupotter,2009-02-13,05:44:00,Afficher le contenu d''un message,IDMSG=1183,
96,ddaniaupotter,2009-02-13,05:43:54,Afficher une structure (cours/forum),IDFORUM=7,
97,ddaniaupotter,2009-02-13,05:43:52,Connexion,login=ddaniaupotter,
98,mmay,2009-02-13,03:59:07,Afficher le fil de discussion,IDFORUM=7,
99,mmay,2009-02-13,03:59:07,Afficher le fil de discussion,IDMSG=1163,
100,mmay,2009-02-13,03:59:03,Afficher une structure (cours/forum),IDFORUM=7,
101,mmay,2009-02-13,03:56:54,Afficher une structure (cours/forum),IDFORUM=11,
102,mmay,2009-02-13,03:56:43,Poster un nouveau message,IDFORUM=10,00:02:32
103,mmay,2009-02-13,03:56:43,Poster un nouveau message,IDMSG=1186,00:02:32
104,mmay,2009-02-13,03:54:02,Afficher le fil de discussion,IDFORUM=10,00:00:04
105,mmay,2009-02-13,03:54:02,Afficher le fil de discussion,IDMSG=1167,00:00:04
106,mmay,2009-02-13,03:52:08,Répondre à un message,IDFORUM=10,00:09:40
107,mmay,2009-02-13,03:52:08,Répondre à un message,IDMSG=1185,00:09:40
108,mmay,2009-02-13,03:52:08,Répondre à un message,IDPARENT=1167,00:09:40
109,admin,2009-02-13,03:45:00,Afficher une structure (cours/forum),IDFORUM=7,
110,admin,2009-02-13,03:45:00,Connexion,login=admin,
111,mmay,2009-02-13,10:42:23,Bouger la scrollbar en bas - afficher la fin du message,IDFORUM=10,
112,mmay,2009-02-13,10:42:23,Bouger la scrollbar en bas - afficher la fin du message,IDMSG=1167,
113,mmay,2009-02-13,10:42:23,Bouger la scrollbar en bas - afficher la fin du message,ScrollVertical,
114,mmay,2009-02-13,10:42:16,Bouger la scrollbar en bas,IDFORUM=10,
115,mmay,2009-02-13,10:42:16,Bouger la scrollbar en bas,IDMSG=1167,
116,mmay,2009-02-13,10:42:16,Bouger la scrollbar en bas,ScrollVertical,
117,mmay,2009-02-13,03:41:45,Afficher le contenu d''un message,IDFORUM=10,00:00:32
118,mmay,2009-02-13,03:41:45,Afficher le contenu d''un message,IDMSG=1167,00:00:32
119,mmay,2009-02-13,03:40:20,Afficher le fil de discussion,IDFORUM=7,
120,mmay,2009-02-13,03:40:20,Afficher le fil de discussion,IDMSG=1163,
121,mmay,2009-02-13,03:41:42,Afficher une structure (cours/forum),IDFORUM=10,
122,mmay,2009-02-13,03:40:13,Citer un message,IDFORUM=7,
123,mmay,2009-02-13,03:40:13,Citer un message,IDMSG=1183,
124,mmay,2009-02-13,03:11:18,Afficher le fil de discussion,IDFORUM=7,
125,mmay,2009-02-13,03:11:18,Afficher le fil de discussion,IDMSG=1163,
126,mmay,2009-02-13,03:11:16,Afficher une structure (cours/forum),IDFORUM=7,
127,mmay,2009-02-13,03:11:09,Afficher une structure (cours/forum),IDFORUM=11,
128,mmay,2009-02-13,03:11:05,Afficher une structure (cours/forum),IDFORUM=10,
129,mmay,2009-02-13,03:10:55,Afficher une structure (cours/forum),IDFORUM=9,
130,mmay,2009-02-13,03:10:46,Afficher une structure (cours/forum),IDFORUM=7,
131,mmay,2009-02-13,03:10:41,Afficher une structure (cours/forum),IDFORUM=7,
132,mmay,2009-02-13,03:10:40,Connexion,login=mmay,
133,admin,2009-02-13,03:09:10,Connexion,login=admin,
134,admin,2009-02-13,03:09:11,Afficher une structure (cours/forum),IDFORUM=7,
135,madeth,2009-02-13,03:08:53,Afficher le fil de discussion,IDFORUM=7,
136,madeth,2009-02-13,03:08:53,Afficher le fil de discussion,IDMSG=1163,
137,madeth,2009-02-13,03:08:36,Afficher une structure (cours/forum),IDFORUM=7,
138,madeth,2009-02-13,03:08:25,Connexion,login=madeth,
139,madeth,2009-02-13,03:08:25,Afficher une structure (cours/forum),IDFORUM=7,
140,gachort,2009-02-13,02:54:42,Afficher une structure (cours/forum),IDFORUM=10,
141,gachort,2009-02-13,02:53:08,Afficher une structure (cours/forum),IDFORUM=11,
142,gachort,2009-02-13,02:52:50,Afficher le contenu d''un message,IDFORUM=10,
143,gachort,2009-02-13,02:52:50,Afficher le contenu d''un message,IDMSG=1167,
144,ddaniaupotter,2009-02-13,05:44:17,Afficher le contenu d''un message,IDFORUM=7,00:00:43
145,ddaniaupotter,2009-02-13,05:44:17,Afficher le contenu d''un message,IDMSG=1184,00:00:43
146,ddaniaupotter,2009-02-13,11:44:27,Bouger la scrollbar en bas,IDFORUM=7,
147,ddaniaupotter,2009-02-13,11:44:27,Bouger la scrollbar en bas,IDMSG=1184,
148,ddaniaupotter,2009-02-13,11:44:27,Bouger la scrollbar en bas,ScrollVertical,
149,ddaniaupotter,2009-02-13,11:44:28,Bouger la scrollbar en bas,IDFORUM=7,
150,ddaniaupotter,2009-02-13,11:44:28,Bouger la scrollbar en bas,IDMSG=1184,
151,ddaniaupotter,2009-02-13,11:44:28,Bouger la scrollbar en bas,ScrollVertical,
152,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,IDFORUM=7,
153,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,IDMSG=1184,
154,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,ScrollVertical,
155,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,IDFORUM=7,
156,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,IDMSG=1184,
157,ddaniaupotter,2009-02-13,11:44:29,Bouger la scrollbar en bas,ScrollVertical,
158,ddaniaupotter,2009-02-13,11:44:30,Bouger la scrollbar en bas,IDFORUM=7,
159,ddaniaupotter,2009-02-13,11:44:30,Bouger la scrollbar en bas,IDMSG=1184,
160,ddaniaupotter,2009-02-13,11:44:30,Bouger la scrollbar en bas,ScrollVertical,
161,ddaniaupotter,2009-02-13,11:44:31,Bouger la scrollbar en bas,IDFORUM=7,
162,ddaniaupotter,2009-02-13,11:44:31,Bouger la scrollbar en bas,IDMSG=1184,
163,ddaniaupotter,2009-02-13,11:44:31,Bouger la scrollbar en bas,ScrollVertical,
164,ddaniaupotter,2009-02-13,11:44:37,Bouger la scrollbar en bas,IDFORUM=7,
165,ddaniaupotter,2009-02-13,11:44:37,Bouger la scrollbar en bas,IDMSG=1184,
166,ddaniaupotter,2009-02-13,11:44:37,Bouger la scrollbar en bas,ScrollVertical,
167,ddaniaupotter,2009-02-13,11:44:59,Bouger la scrollbar en bas - afficher la fin du message,IDFORUM=7,
168,ddaniaupotter,2009-02-13,11:44:59,Bouger la scrollbar en bas - afficher la fin du message,IDMSG=1184,
169,ddaniaupotter,2009-02-13,11:44:59,Bouger la scrollbar en bas - afficher la fin du message,ScrollVertical,
170,ddaniaupotter,2009-02-13,05:47:55,Répondre à un message,IDFORUM=7,00:02:52
171,ddaniaupotter,2009-02-13,05:47:55,Répondre à un message,IDMSG=1187,00:02:52
172,ddaniaupotter,2009-02-13,05:47:55,Répondre à un message,IDPARENT=1184,00:02:52
173,ddaniaupotter,2009-02-13,05:48:51,Poster un nouveau message,IDFORUM=7,00:00:48
174,ddaniaupotter,2009-02-13,05:48:51,Poster un nouveau message,IDMSG=1188,00:00:48
175,ddaniaupotter,2009-02-13,05:51:19,Poster un nouveau message,IDFORUM=7,00:02:23
176,ddaniaupotter,2009-02-13,05:51:19,Poster un nouveau message,IDMSG=1189,00:02:23
177,ddaniaupotter,2009-02-13,05:52:16,Poster un nouveau message,IDFORUM=7,00:00:50
178,ddaniaupotter,2009-02-13,05:52:16,Poster un nouveau message,IDMSG=1190,00:00:50
179,ddaniaupotter,2009-02-13,05:54:52,Afficher le contenu d''un message,IDFORUM=7,00:00:01
180,ddaniaupotter,2009-02-13,05:54:52,Afficher le contenu d''un message,IDMSG=1188,00:00:01
181,ddaniaupotter,2009-02-13,05:56:30,Répondre à un message,IDFORUM=7,00:01:35
182,ddaniaupotter,2009-02-13,05:56:30,Répondre à un message,IDMSG=1191,00:01:35
183,ddaniaupotter,2009-02-13,05:56:30,Répondre à un message,IDPARENT=1188,00:01:35
184,madeth,2009-02-13,06:18:40,Connexion,login=madeth,
185,madeth,2009-02-13,06:18:41,Afficher une structure (cours/forum),IDFORUM=10,
186,madeth,2009-02-13,06:18:50,Afficher le contenu d''un message,IDFORUM=10,
187,madeth,2009-02-13,06:18:50,Afficher le contenu d''un message,IDMSG=1186,
188,mmay,2009-02-13,06:19:10,Connexion,login=mmay,
189,mmay,2009-02-13,06:19:10,Afficher une structure (cours/forum),IDFORUM=10,
190,mmay,2009-02-13,06:19:13,Afficher le contenu d''un message,IDFORUM=10,
191,mmay,2009-02-13,06:19:13,Afficher le contenu d''un message,IDMSG=1186,
192,mmay,2009-02-13,06:19:35,Afficher une structure (cours/forum),IDFORUM=7,
193,mmay,2009-02-13,06:19:47,Afficher le contenu d''un message,IDFORUM=7,00:00:12
194,mmay,2009-02-13,06:19:47,Afficher le contenu d''un message,IDMSG=1184,00:00:12
195,mmay,2009-02-13,06:20:02,Afficher le fil de discussion,IDFORUM=7,00:00:11
196,mmay,2009-02-13,06:20:02,Afficher le fil de discussion,IDMSG=1184,00:00:11
197,mmay,2009-02-13,06:20:20,Afficher le contenu d''un message,IDFORUM=7,00:00:07
198,mmay,2009-02-13,06:20:20,Afficher le contenu d''un message,IDMSG=1188,00:00:07
199,mmay,2009-02-13,06:20:30,Afficher le contenu d''un message,IDFORUM=7,00:00:07
200,mmay,2009-02-13,06:20:30,Afficher le contenu d''un message,IDMSG=1191,00:00:07
201,mmay,2009-02-13,06:20:40,Afficher le contenu d''un message,IDFORUM=7,00:00:06
202,mmay,2009-02-13,06:20:40,Afficher le contenu d''un message,IDMSG=1189,00:00:06
203,mmay,2009-02-13,06:20:50,Afficher le contenu d''un message,IDFORUM=7,
204,mmay,2009-02-13,06:20:50,Afficher le contenu d''un message,IDMSG=1190,
205,mmay,2009-02-13,06:20:56,Afficher une structure (cours/forum),IDFORUM=9,
206,gachort,2009-02-13,07:06:56,Connexion,login=gachort,
207,gachort,2009-02-13,07:06:58,Afficher une structure (cours/forum),IDFORUM=7,
208,gachort,2009-02-13,07:07:10,Afficher le contenu d''un message,IDFORUM=7,
209,gachort,2009-02-13,07:07:10,Afficher le contenu d''un message,IDMSG=1184,
210,gachort,2009-02-13,07:07:48,Afficher le contenu d''un message,IDFORUM=7,00:00:06
211,gachort,2009-02-13,07:07:48,Afficher le contenu d''un message,IDMSG=1187,00:00:06
212,gachort,2009-02-13,07:07:58,Afficher le contenu d''un message,IDFORUM=7,
213,gachort,2009-02-13,07:07:58,Afficher le contenu d''un message,IDMSG=1188,
214,gachort,2009-02-13,07:08:01,Afficher le contenu d''un message,IDFORUM=7,00:00:07
215,gachort,2009-02-13,07:08:01,Afficher le contenu d''un message,IDMSG=1188,00:00:07
216,gachort,2009-02-13,07:08:11,Afficher le contenu d''un message,IDFORUM=7,
217,gachort,2009-02-13,07:08:11,Afficher le contenu d''un message,IDMSG=1191,
218,gachort,2009-02-13,07:12:19,Afficher le contenu d''un message,IDFORUM=7,00:00:07
219,gachort,2009-02-13,07:12:19,Afficher le contenu d''un message,IDMSG=1189,00:00:07
220,gachort,2009-02-13,07:12:30,Afficher le contenu d''un message,IDFORUM=7,00:00:32
221,gachort,2009-02-13,07:12:30,Afficher le contenu d''un message,IDMSG=1190,00:00:32
222,gachort,2009-02-13,07:13:58,Répondre à un message,IDFORUM=7,00:00:52
223,gachort,2009-02-13,07:13:58,Répondre à un message,IDMSG=1192,00:00:52
224,gachort,2009-02-13,07:13:58,Répondre à un message,IDPARENT=1190,00:00:52
225,gachort,2009-02-13,07:14:12,Afficher une structure (cours/forum),IDFORUM=7,
226,gachort,2009-02-13,07:14:25,Afficher une structure (cours/forum),IDFORUM=10,
227,gachort,2009-02-13,07:14:29,Afficher le contenu d''un message,IDFORUM=10,
228,gachort,2009-02-13,07:14:29,Afficher le contenu d''un message,IDMSG=1185,
229,gachort,2009-02-13,07:14:55,Afficher le contenu d''un message,IDFORUM=10,00:00:06
230,gachort,2009-02-13,07:14:55,Afficher le contenu d''un message,IDMSG=1186,00:00:06
231,gachort,2009-02-13,07:17:51,Afficher le contenu d''un message,IDFORUM=10,00:00:02
232,gachort,2009-02-13,07:17:51,Afficher le contenu d''un message,IDMSG=1185,00:00:02
233,gachort,2009-02-13,07:17:55,Afficher le contenu d''un message,IDFORUM=10,00:00:03
234,gachort,2009-02-13,07:17:55,Afficher le contenu d''un message,IDMSG=1186,00:00:03
235,gachort,2009-02-13,07:18:56,Répondre à un message,IDFORUM=10,00:00:55
236,gachort,2009-02-13,07:18:56,Répondre à un message,IDMSG=1193,00:00:55
237,gachort,2009-02-13,07:18:56,Répondre à un message,IDPARENT=1186,00:00:55
238,gachort,2009-02-13,07:18:56,Citer un message,IDFORUM=10,
239,gachort,2009-02-13,07:18:56,Citer un message,IDMSG=1186,
240,gachort,2009-02-13,07:21:05,Afficher une structure (cours/forum),IDFORUM=7,
241,gachort,2009-02-13,07:21:09,Afficher le contenu d''un message,IDFORUM=7,
242,gachort,2009-02-13,07:21:09,Afficher le contenu d''un message,IDMSG=1183,
243,mmay,2009-02-13,08:29:49,Afficher une structure (cours/forum),IDFORUM=7,
244,mmay,2009-02-13,08:29:54,Afficher le contenu d''un message,IDFORUM=7,
245,mmay,2009-02-13,08:29:54,Afficher le contenu d''un message,IDMSG=1192,
246,mmay,2009-02-13,08:30:04,Afficher une structure (cours/forum),IDFORUM=9,
247,mmay,2009-02-13,08:30:13,Afficher une structure (cours/forum),IDFORUM=10,
248,mmay,2009-02-13,08:30:16,Afficher le contenu d''un message,IDFORUM=10,00:00:32
249,mmay,2009-02-13,08:30:16,Afficher le contenu d''un message,IDMSG=1193,00:00:32
250,mmay,2009-02-13,08:38:18,Répondre à un message,IDFORUM=10,00:07:29
251,mmay,2009-02-13,08:38:18,Répondre à un message,IDMSG=1194,00:07:29
252,mmay,2009-02-13,08:38:18,Répondre à un message,IDPARENT=1193,00:07:29
253,mmay,2009-02-13,08:38:18,Citer un message,IDFORUM=10,
254,mmay,2009-02-13,08:38:18,Citer un message,IDMSG=1193,
255,mmay,2009-02-13,08:39:12,Afficher une structure (cours/forum),IDFORUM=11,
256,mmay,2009-02-13,08:39:17,Afficher une structure (cours/forum),IDFORUM=10,
257,mmay,2009-02-13,08:39:29,Afficher une structure (cours/forum),IDFORUM=7,
258,mmay,2009-02-13,08:39:36,Afficher le contenu d''un message,IDFORUM=7,
259,mmay,2009-02-13,08:39:36,Afficher le contenu d''un message,IDMSG=1189,
260,gachort,2009-02-16,20:43:52,Bouger la scrollbar en bas,IDFORUM=7,
261,gachort,2009-02-16,20:43:52,Bouger la scrollbar en bas,IDMSG=1244,
262,gachort,2009-02-16,20:43:52,Bouger la scrollbar en bas,ScrollVertical,
263,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,IDFORUM=7,
264,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,IDMSG=1244,
265,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,ScrollVertical,
266,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,IDFORUM=7,
267,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,IDMSG=1244,
268,gachort,2009-02-16,20:42:39,Bouger la scrollbar en bas,ScrollVertical,
269,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,IDFORUM=7,
270,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,IDMSG=1244,
271,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,ScrollVertical,
272,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,IDFORUM=7,
273,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,IDMSG=1244,
274,gachort,2009-02-16,20:42:38,Bouger la scrollbar en bas,ScrollVertical,
275,mmay,2009-02-16,13:43:57,Afficher le fil de discussion,IDFORUM=10,00:00:02
276,mmay,2009-02-16,13:43:57,Afficher le fil de discussion,IDMSG=1186,00:00:02
277,mmay,2009-02-16,13:43:53,Afficher le contenu d''un message,IDFORUM=10,
278,mmay,2009-02-16,13:43:53,Afficher le contenu d''un message,IDMSG=1209,
279,mmay,2009-02-16,13:43:47,Afficher une structure (cours/forum),IDFORUM=10,
280,cdejean,2009-02-13,10:24:04,Connexion,login=cdejean,
281,cdejean,2009-02-13,10:24:05,Afficher une structure (cours/forum),IDFORUM=7,
282,cdejean,2009-02-13,10:24:18,Afficher le contenu d''un message,IDFORUM=7,00:00:07
283,cdejean,2009-02-13,10:24:18,Afficher le contenu d''un message,IDMSG=1163,00:00:07
284,cdejean,2009-02-13,10:24:30,Afficher le contenu d''un message,IDFORUM=7,00:00:11
285,cdejean,2009-02-13,10:24:30,Afficher le contenu d''un message,IDMSG=1187,00:00:11
286,cdejean,2009-02-13,10:24:44,Afficher le contenu d''un message,IDFORUM=7,00:00:04
287,cdejean,2009-02-13,10:24:44,Afficher le contenu d''un message,IDMSG=1191,00:00:04
288,cdejean,2009-02-13,10:24:51,Afficher le contenu d''un message,IDFORUM=7,00:00:06
289,cdejean,2009-02-13,10:24:51,Afficher le contenu d''un message,IDMSG=1190,00:00:06
290,cdejean,2009-02-13,10:25:00,Afficher le contenu d''un message,IDFORUM=7,
291,cdejean,2009-02-13,10:25:00,Afficher le contenu d''un message,IDMSG=1192,
292,cdejean,2009-02-13,10:25:11,Afficher une structure (cours/forum),IDFORUM=9,
293,cdejean,2009-02-13,10:25:21,Afficher une structure (cours/forum),IDFORUM=9,
294,cdejean,2009-02-13,10:25:38,Afficher une structure (cours/forum),IDFORUM=9,
295,cdejean,2009-02-13,10:32:02,Afficher une structure (cours/forum),IDFORUM=9,
296,cdejean,2009-02-13,10:36:19,Poster un nouveau message,IDFORUM=9,00:04:14
297,cdejean,2009-02-13,10:36:19,Poster un nouveau message,IDMSG=1197,00:04:14
298,cdejean,2009-02-13,10:49:41,Afficher une structure (cours/forum),IDFORUM=9,
299,cdejean,2009-02-13,10:49:44,Afficher le contenu d''un message,IDFORUM=9,00:00:02
300,cdejean,2009-02-13,10:49:44,Afficher le contenu d''un message,IDMSG=1197,00:00:02
301,cdejean,2009-02-13,10:50:55,Répondre à un message,IDFORUM=9,00:01:06
302,cdejean,2009-02-13,10:50:55,Répondre à un message,IDMSG=1198,00:01:06
303,cdejean,2009-02-13,10:50:55,Répondre à un message,IDPARENT=1197,00:01:06
304,mmay,2009-02-13,10:53:49,Connexion,login=mmay,
305,mmay,2009-02-13,10:53:49,Afficher une structure (cours/forum),IDFORUM=7,
306,mmay,2009-02-13,10:54:01,Afficher une structure (cours/forum),IDFORUM=9,
307,mmay,2009-02-13,10:54:06,Afficher le contenu d''un message,IDFORUM=9,
308,mmay,2009-02-13,10:54:06,Afficher le contenu d''un message,IDMSG=1197,
309,mmay,2009-02-13,10:54:12,Afficher le fil de discussion,IDFORUM=9,
310,mmay,2009-02-13,10:54:12,Afficher le fil de discussion,IDMSG=1197,
311,mmay,2009-02-13,10:55:37,Afficher une structure (cours/forum),IDFORUM=9,
312,mmay,2009-02-13,10:55:47,Afficher une structure (cours/forum),IDFORUM=10,
313,mmay,2009-02-13,10:55:54,Afficher une structure (cours/forum),IDFORUM=11,
314,ddaniaupotter,2009-02-13,13:42:03,Connexion,login=ddaniaupotter,
315,ddaniaupotter,2009-02-13,13:42:05,Afficher une structure (cours/forum),IDFORUM=7,
